section,section_name,cluster,doc_count,section_total,ratio,cluster_label,cluster_label_full
1,1구간 (2024.01~03),0,1049,2335,0.4492505353319058,정책·사회/교육 혼합형,Cluster 0: 정책·사회/교육 혼합형
1,1구간 (2024.01~03),1,920,2335,0.39400428265524623,의료현장 갈등형,Cluster 1: 의료현장 갈등형
1,1구간 (2024.01~03),2,366,2335,0.15674518201284796,입시·전형 집중형,Cluster 2: 입시·전형 집중형
2,2구간 (2024.04~06),0,1338,2439,0.5485854858548586,정책·사회/교육 혼합형,Cluster 0: 정책·사회/교육 혼합형
2,2구간 (2024.04~06),1,492,2439,0.2017220172201722,의료현장 갈등형,Cluster 1: 의료현장 갈등형
2,2구간 (2024.04~06),2,609,2439,0.24969249692496925,입시·전형 집중형,Cluster 2: 입시·전형 집중형
3,3구간 (2024.07~12),0,1639,3061,0.5354459327017315,정책·사회/교육 혼합형,Cluster 0: 정책·사회/교육 혼합형
3,3구간 (2024.07~12),1,477,3061,0.1558314276380268,의료현장 갈등형,Cluster 1: 의료현장 갈등형
3,3구간 (2024.07~12),2,945,3061,0.30872263966024177,입시·전형 집중형,Cluster 2: 입시·전형 집중형
4,4구간 (2025.01~06),0,771,1245,0.619277108433735,정책·사회/교육 혼합형,Cluster 0: 정책·사회/교육 혼합형
4,4구간 (2025.01~06),1,104,1245,0.08353413654618475,의료현장 갈등형,Cluster 1: 의료현장 갈등형
4,4구간 (2025.01~06),2,370,1245,0.2971887550200803,입시·전형 집중형,Cluster 2: 입시·전형 집중형
