section,section_name,dominant_topic,doc_count,section_total,ratio,topic_label,topic_label_full
1,1구간 (2024.01~03),0,87,2335,0.037259100642398284,의료현장·진료 차질,Topic 0: 의료현장·진료 차질
1,1구간 (2024.01~03),1,329,2335,0.14089935760171307,경제·시장 외부담론,Topic 1: 경제·시장 외부담론
1,1구간 (2024.01~03),2,1292,2335,0.5533190578158458,정책·의료갈등 종합,Topic 2: 정책·의료갈등 종합
1,1구간 (2024.01~03),3,121,2335,0.05182012847965739,정치·선거 담론,Topic 3: 정치·선거 담론
1,1구간 (2024.01~03),4,506,2335,0.21670235546038544,입시·전형 담론,Topic 4: 입시·전형 담론
2,2구간 (2024.04~06),0,110,2439,0.045100451004510045,의료현장·진료 차질,Topic 0: 의료현장·진료 차질
2,2구간 (2024.04~06),1,369,2439,0.15129151291512916,경제·시장 외부담론,Topic 1: 경제·시장 외부담론
2,2구간 (2024.04~06),2,877,2439,0.3595735957359574,정책·의료갈등 종합,Topic 2: 정책·의료갈등 종합
2,2구간 (2024.04~06),3,247,2439,0.1012710127101271,정치·선거 담론,Topic 3: 정치·선거 담론
2,2구간 (2024.04~06),4,836,2439,0.34276342763427636,입시·전형 담론,Topic 4: 입시·전형 담론
3,3구간 (2024.07~12),0,136,3061,0.04442992486115648,의료현장·진료 차질,Topic 0: 의료현장·진료 차질
3,3구간 (2024.07~12),1,328,3061,0.10715452466514211,경제·시장 외부담론,Topic 1: 경제·시장 외부담론
3,3구간 (2024.07~12),2,946,3061,0.3090493302842208,정책·의료갈등 종합,Topic 2: 정책·의료갈등 종합
3,3구간 (2024.07~12),3,287,3061,0.09376020908199935,정치·선거 담론,Topic 3: 정치·선거 담론
3,3구간 (2024.07~12),4,1364,3061,0.4456060111074812,입시·전형 담론,Topic 4: 입시·전형 담론
4,4구간 (2025.01~06),0,25,1245,0.020080321285140562,의료현장·진료 차질,Topic 0: 의료현장·진료 차질
4,4구간 (2025.01~06),1,72,1245,0.05783132530120482,경제·시장 외부담론,Topic 1: 경제·시장 외부담론
4,4구간 (2025.01~06),2,437,1245,0.351004016064257,정책·의료갈등 종합,Topic 2: 정책·의료갈등 종합
4,4구간 (2025.01~06),3,110,1245,0.08835341365461848,정치·선거 담론,Topic 3: 정치·선거 담론
4,4구간 (2025.01~06),4,601,1245,0.4827309236947791,입시·전형 담론,Topic 4: 입시·전형 담론
