nmf_topic,rank,keyword,weight,nmf_topic_label
0,1,전형,2.1199273972139525,전형·지역·인재
0,2,지역,1.623174156178961,전형·지역·인재
0,3,인재,1.32442900402362,전형·지역·인재
0,4,모집,1.2070054499174259,전형·지역·인재
0,5,대학,0.8889321851144537,전형·지역·인재
0,6,정원,0.8285443830496309,전형·지역·인재
0,7,학년도,0.8203726917244655,전형·지역·인재
0,8,선발,0.8005253905465275,전형·지역·인재
0,9,수시,0.781778893391522,전형·지역·인재
0,10,인원,0.7691673829131863,전형·지역·인재
0,11,수도,0.6479869146248866,전형·지역·인재
0,12,교과,0.6322828716091742,전형·지역·인재
0,13,경쟁,0.5289483013934727,전형·지역·인재
0,14,학생부,0.5072559091152157,전형·지역·인재
0,15,지방,0.4976680943875977,전형·지역·인재
1,1,정부,1.2421446328533323,정부·전공의·환자
1,2,전공의,1.0055140569948517,정부·전공의·환자
1,3,환자,0.797191716704781,정부·전공의·환자
1,4,교수,0.7818325529690976,정부·전공의·환자
1,5,정원,0.6590720111098266,정부·전공의·환자
1,6,진료,0.6314639518922954,정부·전공의·환자
1,7,국민,0.5914442684240736,정부·전공의·환자
1,8,필수,0.5627165493808404,정부·전공의·환자
1,9,정책,0.4565178175928846,정부·전공의·환자
1,10,파업,0.45259127753910294,정부·전공의·환자
1,11,대학,0.4140343298707826,정부·전공의·환자
1,12,집단,0.40403450806581925,정부·전공의·환자
1,13,의협,0.38409065373744267,정부·전공의·환자
1,14,사직,0.34224478749725756,정부·전공의·환자
1,15,교육,0.32649125839343496,정부·전공의·환자
2,1,수능,1.2776904596213277,수능·입시·등급
2,2,입시,0.833399017391471,수능·입시·등급
2,3,등급,0.7640826956543372,수능·입시·등급
2,4,수학,0.6724960676543655,수능·입시·등급
2,5,학원,0.6250387898958377,수능·입시·등급
2,6,학생,0.5716898899706508,수능·입시·등급
2,7,내신,0.5083926318624999,수능·입시·등급
2,8,과목,0.5068746045412416,수능·입시·등급
2,9,수시,0.4590374570382162,수능·입시·등급
2,10,정시,0.4375689681802928,수능·입시·등급
2,11,감사,0.429574624874039,수능·입시·등급
2,12,최저,0.42912504507643157,수능·입시·등급
2,13,영어,0.4188785179724317,수능·입시·등급
2,14,합격,0.40846561473565196,수능·입시·등급
2,15,공부,0.37048139027102445,수능·입시·등급
3,1,대통령,0.674589191955966,대통령·미국·국민
3,2,미국,0.5028484517280559,대통령·미국·국민
3,3,국민,0.4120809953798974,대통령·미국·국민
3,4,윤석열,0.40142245664361853,대통령·미국·국민
3,5,경제,0.39850192297598586,대통령·미국·국민
3,6,한국,0.3889263461845405,대통령·미국·국민
3,7,기업,0.3698141730578689,대통령·미국·국민
3,8,시장,0.36914835510258276,대통령·미국·국민
3,9,대표,0.33052215941777713,대통령·미국·국민
3,10,금리,0.32386702233426246,대통령·미국·국민
3,11,중국,0.31325122707472175,대통령·미국·국민
3,12,이재명,0.3102984508362908,대통령·미국·국민
3,13,한동훈,0.2920602812988431,대통령·미국·국민
3,14,민주당,0.2917856547705467,대통령·미국·국민
3,15,투자,0.28822513597912447,대통령·미국·국민
4,1,존중,0.8043435634902357,존중·회원·대학생
4,2,회원,0.7905230335101755,존중·회원·대학생
4,3,대학생,0.7591249815304167,존중·회원·대학생
4,4,학부모,0.7569271349040143,존중·회원·대학생
4,5,선배,0.7378667816250064,존중·회원·대학생
4,6,수험,0.7326951335616596,존중·회원·대학생
4,7,응원,0.7313406132053716,존중·회원·대학생
4,8,규정,0.7295118466971697,존중·회원·대학생
4,9,조언,0.715272730839657,존중·회원·대학생
4,10,선생,0.69627590995795,존중·회원·대학생
4,11,커뮤니티,0.6946745630479885,존중·회원·대학생
4,12,공간,0.6812062376900399,존중·회원·대학생
4,13,이용,0.6627390874309521,존중·회원·대학생
4,14,대한민국,0.5500788538525917,존중·회원·대학생
4,15,대입,0.5457800134096359,존중·회원·대학생
